"SCHEMA_TYPE","NAME","DESCRIPTION","FORMAT","CREATED","LAST_MODIFIED","DOC_SIZE","URL","URL_TYPE","PARENT_ID","DKAN_PARENT_DATASET_NODE_ID","DKAN_PARENT_DATASET_TITLE","DKAN_RESOURCE_NODE_ID","DKAN_URI"
"information","Map","File is 10.36 MB",".PDF","2018-10-15 01:10:34","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2004/gm2004_15.pdf","",42090,"","","",""
"information","Map","File is 10.32 MB",".PDF","2018-10-15 01:10:24","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2004/gm2004_17.pdf","",42091,"","","",""
"information","CD-ROM","Digital report accompanied by fifteen 1:25 000 scale and two 1:100 000 scale maps","","2011-06-23 08:06:21","2011-08-16 02:08:07","","","",42092,"","","",""
"information","Package ","Report accompanied by fifteen 1:25 000 scale and two 1:100 000 scale maps","","2011-06-23 08:06:21","2011-08-16 02:08:07","","","",42092,"","","",""
"information","Report ","File is 13.3 MB",".PDF ","2011-06-23 08:06:21","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/bulletin/bulletin15.pdf","",42092,"","","",""
"information","Map","File is 8.21 MB",".PDF","2018-10-15 10:10:28","2021-03-02 04:03:05","","https://ygsftp.gov.yk.ca/publications/openfile/2004/of2004_19.pdf","",42093,"","","",""
"information","Map","File is 2.17 MB",".PDF","2018-08-23 03:08:27","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/openfile/1999/OF1999_15.pdf","",42094,"","","",""
"information","Map","File is 16.8 MB",".PDF","2018-10-15 10:10:48","2021-03-02 04:03:05","","https://ygsftp.gov.yk.ca/publications/openfile/2004/of2004_16.pdf","",42095,"","","",""
"information","Map","File is 3.51 MB",".PDF","2018-10-15 10:10:26","2021-03-02 04:03:05","","https://ygsftp.gov.yk.ca/publications/openfile/2004/of2004_20.pdf","",42096,"","","",""
"information","Report","File is 2.35 MB",".PDF","2018-10-15 02:10:54","2021-03-02 04:03:05","","https://ygsftp.gov.yk.ca/publications/openfile/2005/of2005_4.pdf","",42098,"","","",""
"information","Report ","File is 1.71 MB",".PDF","2011-06-02 02:06:54","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg03/14_nelson.pdf","",42099,"","","",""
"information","Report ","File is 2.05 MB",".PDF","2011-06-02 02:06:43","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg03/21_tafti.pdf","",42100,"","","",""
"information","Report ","File is 1.51 MB",".PDF","2011-09-12 01:09:09","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg04/17_pigage.pdf","",42101,"","","",""
"information","Report ","File is .62 MB",".PDF","2011-06-03 10:06:40","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg04/21_turner.pdf","",42102,"","","",""
"information","Map","","","2011-06-03 11:06:26","2014-05-29 02:05:10","","","",42103,"","","",""
"information","Report ","File is 5.13 MB",".PDF","2011-06-01 11:06:13","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/mir/min_in_rep75.pdf","",42164,"","","",""
"information","Report","","","2011-06-01 11:06:54","2017-05-10 02:05:41","","","",42165,"","","",""
"information","Report","File is 17.48 MB",".PDF","2011-08-04 02:08:55","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg81.pdf","",42166,"","","",""
"information","Report ","File is 13.97 MB",".PDF","2011-06-01 12:06:34","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg82.pdf","",42167,"","","",""
"information","Report ","File is 2.42 MB",".PDF","2011-06-01 11:06:36","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/miscellaneous/yuk_geosci_blueprint.pdf","",42168,"","","",""
"information","Report ","File is 18.56 MB",".PDF","2011-06-01 01:06:47","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg83.pdf","",42169,"","","",""
"information","Report ","File is 10.6 MB",".PDF","2011-06-01 01:06:59","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg84.pdf","",42171,"","","",""
"information","Report ","File is 15.64 MB",".PDF","2011-06-01 01:06:46","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yplacer/yuk_plac_min_ind95_97.pdf","",42172,"","","",""
"information","Report ","File is 17.11 MB",".PDF","2011-06-01 01:06:57","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg85_86.pdf","",42173,"","","",""
"information","Report ","File is 11.16 MB",".PDF","2011-06-01 01:06:39","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yplacer/yuk_plac_min_ind93_94.pdf","",42174,"","","",""
"information","Report ","File is 14.49 MB",".PDF","2011-06-01 01:06:06","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg87.pdf","",42175,"","","",""
"information","Report ","File is 8.08 MB",".PDF","2011-06-01 01:06:31","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yplacer/yuk_plac_min_ind91_92.pdf","",42176,"","","",""
"information","Report ","File is 18.9 MB",".PDF","2011-06-01 02:06:00","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg88.pdf","",42177,"","","",""
"information","Report ","File is 1.69 MB",".PDF","2011-06-01 02:06:22","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg_overview88.pdf","",42178,"","","",""
"information","Report ","File is 11.78 MB",".PDF","2011-06-01 02:06:55","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yplacer/yuk_plac_min_ind85_88.pdf","",42179,"","","",""
"information","Report ","File is 12.22 MB",".PDF","2011-06-01 02:06:42","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg89.pdf","",42180,"","","",""
"information","Report ","File is 11.52 MB",".PDF","2011-05-20 10:05:43","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yplacer/yuk_plac_min_ind83_84.pdf","",42181,"","","",""
"information","Report ","File is 5.41 MB",".PDF","2011-05-20 11:05:06","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg90.pdf","",42182,"","","",""
"information","Report ","File is 16.04 MB",".PDF","2011-05-20 11:05:43","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yplacer/yuk_plac_min_ind78_82.pdf","",42183,"","","",""
"information","Report ","File is 3.22 MB",".PDF","2011-05-20 11:05:53","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg91.pdf","",42184,"","","",""
"information","Report ","File is 24 MB",".PDF","2011-05-20 12:05:53","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/ygeology/yukon_geol_vol3.pdf","",42185,"","","",""
"information","Report ","File is 6.29 MB",".PDF","2011-05-20 12:05:56","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg92.pdf","",42186,"","","",""
"information","Report ","File is 8.59 MB",".PDF","2011-05-20 01:05:53","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg93.pdf","",42187,"","","",""
"information","Report","File is 8.04 MB",".PDF","2011-05-20 01:05:29","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg94.pdf","",42188,"","","",""
